Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name,d,run
71.4,1152956,1,1152956.0,1152956.0,1152956,1152956,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,3
28.6,462282,2,231141.0,231141.0,230630,231652,722.7,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,3
71.5,1161597,1,1161597.0,1161597.0,1161597,1161597,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,4
28.5,462675,2,231337.5,231337.5,230222,232453,1577.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,4
71.9,1184341,1,1184341.0,1184341.0,1184341,1184341,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,5
28.1,462302,2,231151.0,231151.0,229957,232345,1688.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,5
71.3,1161552,1,1161552.0,1161552.0,1161552,1161552,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,6
28.7,466918,2,233459.0,233459.0,232942,233976,731.1,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,6
71.3,1152183,1,1152183.0,1152183.0,1152183,1152183,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,7
28.7,463018,2,231509.0,231509.0,230885,232133,882.5,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,7
