Distanza,ID,Kernel Name,Metric Name,Metric Unit,Metric Value DevStd
15,2,"void circuit_kernel_batch_plain_stack<1>(unsigned int *, unsigned int *, Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,0.14662499407975774
15,2,"void circuit_kernel_batch_plain_stack<1>(unsigned int *, unsigned int *, Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,0.14662499407975774
15,2,"void circuit_kernel_batch_plain_stack<1>(unsigned int *, unsigned int *, Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",gpu__time_duration.sum,ns,67310.44164796769
15,2,"void circuit_kernel_batch_plain_stack<1>(unsigned int *, unsigned int *, Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",sm__warps_active.avg.pct_of_peak_sustained_active,%,0.06806043066439077
25,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",dram__cycles_active.avg,cycle,63122.40138301404
25,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",dram__cycles_elapsed.avg,cycle,23118.814333303795
25,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,0.11167910378500637
25,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,0.1571588014999125
25,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__time_duration.sum,ns,3639.8833680947287
25,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",sm__warps_active.avg.pct_of_peak_sustained_active,%,0.0051639777949431
25,1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",dram__cycles_active.avg,cycle,64947.32113960599
25,1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",dram__cycles_elapsed.avg,cycle,15966.1380343948
25,1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,0.13809819372863325
25,1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,0.16153431008096494
25,1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__time_duration.sum,ns,2098.434548790041
