Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation,d,run
74.0,146214,2,73107.0,73107.0,71926,74288,1670.2,[CUDA memset],35,10
24.5,48492,1,48492.0,48492.0,48492,48492,0.0,[CUDA memcpy Host-to-Device],35,10
1.5,2874,2,1437.0,1437.0,1373,1501,90.5,[CUDA memcpy Device-to-Host],35,10
74.7,240697,2,120348.5,120348.5,120285,120412,89.8,[CUDA memset],45,1
24.4,78501,1,78501.0,78501.0,78501,78501,0.0,[CUDA memcpy Host-to-Device],45,1
0.9,2866,2,1433.0,1433.0,1401,1465,45.3,[CUDA memcpy Device-to-Host],45,1
76.0,257946,2,128973.0,128973.0,120733,137213,11653.1,[CUDA memset],45,2
23.2,78814,1,78814.0,78814.0,78814,78814,0.0,[CUDA memcpy Host-to-Device],45,2
0.8,2816,2,1408.0,1408.0,1376,1440,45.3,[CUDA memcpy Device-to-Host],45,2
74.7,240617,2,120308.5,120308.5,120229,120388,112.4,[CUDA memset],45,3
24.4,78528,1,78528.0,78528.0,78528,78528,0.0,[CUDA memcpy Host-to-Device],45,3
0.9,2804,2,1402.0,1402.0,1402,1402,0.0,[CUDA memcpy Device-to-Host],45,3
74.8,242638,2,121319.0,121319.0,121287,121351,45.3,[CUDA memset],45,4
24.4,79197,1,79197.0,79197.0,79197,79197,0.0,[CUDA memcpy Host-to-Device],45,4
0.9,2763,2,1381.5,1381.5,1350,1413,44.5,[CUDA memcpy Device-to-Host],45,4
74.7,240242,2,120121.0,120121.0,119914,120328,292.7,[CUDA memset],45,5
24.4,78636,1,78636.0,78636.0,78636,78636,0.0,[CUDA memcpy Host-to-Device],45,5
0.9,2773,2,1386.5,1386.5,1371,1402,21.9,[CUDA memcpy Device-to-Host],45,5
74.8,245123,2,122561.5,122561.5,122157,122966,572.0,[CUDA memset],45,6
24.4,79905,1,79905.0,79905.0,79905,79905,0.0,[CUDA memcpy Host-to-Device],45,6
0.9,2850,2,1425.0,1425.0,1425,1425,0.0,[CUDA memcpy Device-to-Host],45,6
74.7,241354,2,120677.0,120677.0,120613,120741,90.5,[CUDA memset],45,7
24.4,78674,1,78674.0,78674.0,78674,78674,0.0,[CUDA memcpy Host-to-Device],45,7
0.9,2873,2,1436.5,1436.5,1373,1500,89.8,[CUDA memcpy Device-to-Host],45,7
