Distanza,Tempo (s)
45,0.5183406982421875
45,0.5171732177734375
45,0.5161187133789062
45,0.5211207275390625
45,0.5215538940429687
45,0.5175084838867188
45,0.5193238525390625
45,0.52335302734375
45,0.5242974853515625
45,0.5217600708007812
45,0.5193046875
45,0.5207572021484375
45,0.5209330444335938
45,0.5207772827148438
45,0.5215389404296875
45,0.5184737548828126
45,0.5187411499023438
45,0.5211680297851562
45,0.5216234130859375
50,0.6992958984375
50,0.6999371948242188
50,0.700856201171875
50,0.7040046997070313
50,0.7038916015625
50,0.6956419067382813
50,0.6888775634765625
50,0.689775146484375
50,0.6934995727539063
50,0.7036641235351563
50,0.6964957275390625
50,0.7208960571289063
50,0.7238125610351562
50,0.7144979858398437
50,0.7085858764648437
50,0.6882406616210938
50,0.69210107421875
50,0.6920120849609375
50,0.68424072265625
50,0.7062156372070313
50,0.7126655883789063
50,0.7050647583007813
50,0.7047303466796875
50,0.7036063232421875
50,0.702246826171875
50,0.7016365966796875
50,0.7050248413085938
50,0.7032442016601562
50,0.701865234375
50,0.7055693969726563
55,0.9198431396484374
55,0.9209308471679688
55,0.9054575805664062
55,0.9268858642578125
55,0.9070591430664062
55,0.926935546875
55,0.9235353393554687
55,0.912927734375
55,0.9143358154296874
55,0.930028564453125
55,0.920332275390625
55,0.9099847412109375
55,0.9173401489257812
55,0.90940087890625
55,0.9187100219726563
55,0.9204551391601562
55,0.9151349487304687
55,0.9188433837890625
55,0.9219746704101562
55,0.9051443481445313
55,0.9288438110351562
55,0.920637451171875
55,0.91609130859375
55,0.9086691284179688
55,0.917641357421875
55,0.9129146118164062
55,0.9047061767578125
55,0.9313150634765625
55,0.9163673706054688
55,0.9146444091796875
60,1.1763670654296876
60,1.189958251953125
60,1.1735306396484375
60,1.1782603759765624
60,1.1772674560546874
60,1.1815279541015624
60,1.1803668212890626
60,1.1761298828125
60,1.1751015625
60,1.177944091796875
60,1.182150146484375
60,1.175410400390625
60,1.1769920654296875
60,1.1816898193359375
60,1.1759320068359376
60,1.1799656982421876
60,1.175064208984375
60,1.1788917236328125
60,1.180284912109375
60,1.172650146484375
60,1.1767379150390624
60,1.181705078125
60,1.17694873046875
60,1.183173095703125
60,1.1824586181640624
60,1.176701171875
60,1.1727525634765625
60,1.17526953125
60,1.185545654296875
60,1.1784110107421875
65,1.48772021484375
65,1.5034100341796874
65,1.4892376708984374
65,1.48534326171875
65,1.492919189453125
65,1.494350341796875
65,1.492864990234375
65,1.48665283203125
65,1.4912432861328124
65,1.5022471923828125
65,1.4949437255859375
65,1.4926888427734375
65,1.493972412109375
65,1.491318603515625
65,1.4930850830078124
65,1.4916767578125
65,1.4972420654296874
65,1.495262939453125
65,1.49520361328125
65,1.49371435546875
65,1.4925762939453124
65,1.492471923828125
65,1.49586328125
65,1.4902493896484375
65,1.4932620849609375
65,1.493615966796875
65,1.4940240478515625
65,1.50298046875
65,1.5000362548828126
65,1.50073388671875
70,1.878222900390625
70,1.878076904296875
70,1.868294189453125
70,1.86803759765625
70,1.87278564453125
70,1.871368408203125
70,1.876284912109375
70,1.876230224609375
70,1.8723369140625
70,1.8685419921875
